"docid","recordid","oclc","locnum","includedbc","author","authordate","imprint","inferreddate","firstpub","place","enumcron","subjects","genres","title"
"uc1.b3536480",10118244,,,"fuzzymatch","Wollheim, Donald A.",,"New York|Daw Books|1973",0,1973,"  u",,,"UnknownGenre","World's best science fiction, 1973"
"mdp.49015001393561",4523208,25552231,"PS3569.I472A6 1992","taggedsf","Silverberg, Robert.",,"New York|Bantam Books|1992-",0,1958,"nyu",,"Science fiction, American","Fiction|Bibliographies","The collected stories of Robert Silverberg."
"mdp.39015029191478",2604234,25552231,"PS3569.I472A6 1992","taggedsf","Silverberg, Robert.",,"New York|Bantam Books|1992-",0,1957,"nyu","v.1","Science fiction, American","Bibliographies|Fiction","The collected stories of Robert Silverberg."
"uc1.32106014483108",7133587,26386742,,"taggedsf","Leiber, Fritz,","1910-1992","S.l.|s.n.|19--",0,1958,"nyu",,"Science fiction, American","NotFiction","The big time"
"mdp.39015069109224",5276836,45752972,,"taggedsf",,,"New York, N.Y., U.S.A.|ROC|2000-",0,2000,"nyu","v.2","Horror tales|Fiction|20th century|Horror tales, American|Science fiction, American","Short stories|Horror fiction","The best of Cemetery dance"
"pst.000021120350",6813048,7442178,,"fuzzymatch","Knight, Damon,","1922-2002","Los Angeles|Pinnacle Books|c1971.",0,1971,"xx ",,,"NotFiction","First contact"
"pst.000063446623",7057839,959911,"PZ1.E49CoPS648.S3","taggedsf","Elwood, Roger,",,"New York|Putnam|1974-",0,1974,"xxu","v.2","Science fiction, American","NotFiction","Continuum."
"coo.31924022109569",12445524,63271285,,"oclcid",,,"New York|Frank Tousey|1893.",0,1893,"nyu",,,"NotFiction","Frank Reade Jr.'s new electric submarine boat ""The explorer;"" or, To the North Pole under the ice."
"inu.30000029816976",7592410,22339299,,"taggedsf","Dick, Philip K.",,"New York, N.Y.|Carol Publishing Group|1990-",0,1962,"nyu","v. 1","Science fiction, American","Fiction","The collected stories of Philip K. Dick"
"mdp.39015069174269",5417692,36084558,"PS3569.T875A6 1994","taggedsf","Sturgeon, Theodore",,"Berkeley, Calif.|North Atlantic Books|c1994-<c1997   >",0,1949,"cau","v.3","Science fiction, American","Fiction","The complete stories of Theodore Sturgeon"
"mdp.39015078562264",1422199,48922409,,"fuzzymatch","Paltock, Robert,",,"London;Printed for T. and J. Allman; [etc., etc.;1816.",1816,1816,"enk","v.1","Voyages, Imaginary",,"The life & adventures of Peter Wilkins"
"mdp.39015078562256",1422199,48922409,,"fuzzymatch","Paltock, Robert,",,"London;Printed for T. and J. Allman; [etc., etc.;1816.",1816,1816,"enk","v.2","Voyages, Imaginary",,"The life & adventures of Peter Wilkins"
"mdp.39015078544494",1422202,2211760,,"fuzzymatch","Paltock, Robert,",,"Boston;Baker & Alexander, R. Colton, printer, Woodstock, Vt.;1828.",1828,1816,"mau","v.2","Voyages, Imaginary",,"The life and adventures of Peter Wilkins"
"dul1.ark+=13960=t6ww82n4s",8961936,12851342,,"taggedsf","Griffith, Mary,",,"Philadelphia;Carey, Lea & Blanchard;1836.",1836,1836,"pau",,"Science fiction, American",,"Camperdown, or, News from our neighbourhood"
"uva.x000889095",9794114,3796471,"PZ3","fuzzymatch","Verne, Jules,",,"New York;D. Appleton & Co.;1869.",1869,1863,"nyu",,"Fiction;Aeronautics",,"Five weeks in a balloon; or, Journeys and discoveries in Africa, by three Englishmen"
"mdp.39015004307362",1802393,4633573,,"fuzzymatch","Verne, Jules,",,"Boston;G. M. Smith & co.;New York;Douglass & Myers; [etc., etc.;1873.",1873,1870,"mau",,,,"Twenty thousand leagues under the seas;"
"nyp.33433074818778",8658697,10311195,,"taggedsf","Cowan, Frank,",,"Greensburg, Pa.;Tribune Press;188-?",1880,1879,"pau",,"Science fiction, American",,"Revi-Lona"
"mdp.39015063542180",249090,65991401,,"fuzzymatch","Collins, Wilkie,",,"Chicago;Donohue, Henneberry & co.;188-?",1880,1888,"ilu",,,,"The legacy of Cain"
"dul1.ark+=13960=t9m33h56c",6678144,12767085,"PZ3.G8616A","taggedsf","Greg, Percy,",,"London;Tr?_bner;1880.",1880,1880,"enk","v.2","Science fiction, English",,"Across the zodiac"
"dul1.ark+=13960=t3dz0xh78",6678144,12767085,"PZ3.G8616A","taggedsf","Greg, Percy,",,"London;Tr?_bner;1880.",1880,1880,"enk","v.1","Science fiction, English",,"Across the zodiac"
"uiuo.ark+=13960=t7cr65585",8722974,12076816,,"taggedsf","Corelli, Marie,",,"London;Richard Bentley;1886.",1886,1886,"enk","v.2","Science fiction, English",,"A romance of two worlds"
"uc1.$b372446",9457925,10105959,,"oclcid","Jefferies, Richard,",,"London;New York;Cassell;1886.",1886,1885,"enk",,,,"After London, or, Wild England"
"uc1.b117774",6610336,18939696,,"fuzzymatch","Verne, Jules,",,"London;S. Low, Marston, Searle & Rivington;1887.",1887,1886,"enk",,,,"The clipper of the clouds"
"uiuo.ark+=13960=t03x8wg41",8719901,19818258,"PZ3.R919Fr5","fuzzymatch","Russell, William Clark,",,"London;S. Low, Marston, Searle, & Rivington;1887.",1887,1887,"enk","v.1",,,"The frozen pirate"
"uiuo.ark+=13960=t85h85b3r",8719901,19818258,"PZ3.R919Fr5","fuzzymatch","Russell, William Clark,",,"London;S. Low, Marston, Searle, & Rivington;1887.",1887,1887,"enk","v.2",,,"The frozen pirate"
"nyp.33433074959747",8668181,1883146,,"taggedsf|fuzzymatch","De Mille, James,",,"New York;Harper;1900, c1888.",1888,1888,"nyu",,,,"A strange manuscript found in a copper cylinder"
"njp.32101072858226",9009500,7524125,,"fuzzymatch",,,"London;Edinburgh;W. Paterson;1888",1888,1888,"enk","v.2","Short stories, English;Short stories, Scottish",,"Weird tales"
"njp.32101072858234",9009500,7524125,,"fuzzymatch",,,"London;Edinburgh;W. Paterson;1888",1888,1888,"enk","v.3","Short stories, English;Short stories, Scottish",,"Weird tales"
"dul1.ark+=13960=t66401k8k",5082161,5934716,"HX811 1887.B2","fuzzymatch","Bellamy, Edward,",,"Boston;Ticknor and Co.;1888.",1888,1888,"mau",,"Social problems;Time travel;Utopias;Boston (Mass.);Two thousand, A.D;Fiction",,"Looking backward, 2000-1887"
"njp.32101072858242",9009500,7524125,,"fuzzymatch",,,"London;Edinburgh;W. Paterson;1888",1888,1888,"enk","v.5","Short stories, English;Short stories, Scottish",,"Weird tales"
"mdp.39015004200997",1774603,14770844,,"fuzzymatch","Shelley, Mary Wollstonecraft,",,"London;G. Routledge & sons, limited;1891.",1891,1817,"enk",,,,"Frankenstein"
"uc1.b4102938",6155283,20963778,"PS3144.W212R46 1891","taggedsf","Ward, Herbert Dickinson,",,"New York;Tait;c1891.",1891,1891,"nyu",,"Science fiction, American",,"A republic without a president and other stories"
"njp.32101068138443",8967329,2110206,,"taggedsf","Bradshaw, William R.",,"New York;J. F. Douthitt;1892.",1892,1892,"nyu",,"Science fiction",,"The goddess of Atvatabar"
"nyp.33433075827018",6708866,2231489,"PZ3.F612O","fuzzymatch","Flammarion, Camille,",,"New York;Cosmopolitan Pub. Co.;c1894",1894,1894,"nyu",,,,"Omega: the last days of the world"
"umn.31951002376324e",11224997,2696467,,"fuzzymatch","Griffith, George Chetwynd.",,"London;Tower;1895.",1895,1895,"enk",,,,"The outlaws of the air"
"nyp.33433074876164",1418812,4988292,,"fuzzymatch","Machen, Arthur,",,"London;J. Lane;Boston;Roberts bros.;1895.",1895,1895,"enk",,,,"The three impostors;"
"uc2.ark+=13960=t17m0b23x",7685922,3552190,,"taggedsf","Besant, Walter,",,"London;Chatto & Windus;1895.",1895,1895,"enk",,"Moral and ethical aspects;Science fiction;Inheritance and succession;Wealth;Scientists;Fiction",,"Beyond the dreams of avarice"
"uc1.32106012646599",7128204,254413093,,"fuzzymatch","Morris, William,",,"London;Lawrence and Bullen;1895.",1895,1894,"   ",,,,"The wood beyond the world"
"nyp.33433074915343",907116,324489,,"fuzzymatch","Morris, William,",,"New York;London;Bombay;Longmans, Green, and Co.;1897.",1897,1897,"nyu",,,,"The water of the Wondrous isles"
"nyp.33433076059777",8660113,6546916,"PZ3.P811U","fuzzymatch","Pope, Marion Manville,",,"New York;The Century Co.;1897.",1897,1897,"nyu",,,,"Up the Matterhorn in a boat"
"nyp.33433074915350",671137,7561150,"PZ3.M8345Su","fuzzymatch","Morris, William,",,"New York;London [etc.;Longmans, Green, and co.;1898.",1898,1897,"enk",,,,"The sundering flood"
"mdp.39015063916798",914301,4727552,,"fuzzymatch","Douglass, Ellsworth.",,"London;C. A. Pearson;1899.",1899,1899,"enk",,"Utopias",,"Pharaoh's broker"
"mdp.39015046862747",23899,1626477,,"taggedsf|fuzzymatch","Verne, Jules,",,"Philadelphia;Lippincott;1899.",1899,1897,"|||",,,,"An Antarctic mystery"
"nyp.33433076024060",8690139,16402623,"PZ3.O815 #b Se","taggedsf","Osborne, Duffield,",,"New York;London;G.P. Putnam's Sons;1900.",1900,1900,"nyu",,"Science fiction, American",,"The secret of the crater"
"coo.31924013568781",8668045,2320066,"PR5774.T3 1920","taggedsf","Wells, H. G.",,"Leipzig;B. Tauchnitz;1900.",1900,1900,"gw ",,"Science fiction, English",,"Tales of space and time"
"uc2.ark+=13960=t9r20w429",7674172,13393303,,"fuzzymatch","Stevenson, Robert Louis,",,"London;Longmans;1901.",1901,1886,"enk",,,,"The strange case of Dr. Jekyll and Mr. Hyde"
"nyp.33433074954656",8665125,10294318,"PZ3.C9126W","taggedsf","Owen, Harle Oren.",,"Boston, Mass.;Mutual Book Co.;c1902.",1902,1902,"mau",,"Science fiction, American",,"Welsh rarebit tales"
"uc1.32106001959946",7120624,660430,,"taggedsf","Wells, H. G.",,"London;Macmillan and co., limited;1904.",1904,1904,"enk",,"Science fiction, English",,"The food of the gods and how it came to earth"
"nyp.33433074850870",8664795,13659278,"PZ3.H2443Pr2","taggedsf","Harris-Burland, J. B.",,"Boston;Little, Brown, and Co.;1904.",1904,1904,"mau",,"Science fiction, English",,"The Princess Thora"
"nyp.33433076063431",8690286,6510343,"PZ3.S965D","fuzzymatch","Sutphen, Van Tassel,",,"New York;Harper;1906.",1906,1906,"nyu",,,,"The doomsman"
"dul1.ark+=13960=t1qf9cr59",10943345,11452074,,"taggedsf","Ford, Douglas Morey.",,"London;Greening & Co.;1906, c1905",1906,1906,"enk",,"Home & Colonial Stores, Limited;Science fiction, English;Utopias;Bookplate;Provenance",,"A time of terror"
"uc2.ark+=13960=t00z77h4n",471939,5715532,,"fuzzymatch","Benson, Arthur Christopher,",,"London;Smith, Elder & co.;1907.",1907,1907,"enk",,,,"Beside still waters"
"dul1.ark+=13960=t9g45ch9h",7647628,2668370,"PZ3.G5432M","fuzzymatch","Godfrey, Hollis,",,"Boston;Little, Brown & Company;1908.",1908,1908,"mau",,,,"The man who ended war;"
"uc2.ark+=13960=t10p0xs0f",6533865,11601379,,"taggedsf","Harding, Ellison.",,"London;T. Fisher Unwin;1908.",1908,1908,"enk",,"Utopias;Science fiction",,"The woman who vowed"
"dul1.ark+=13960=t9r21mf2d",10944171,3251974,"PZ3.B4435Lo","fuzzymatch","Benson, Robert Hugh,",,"New York;Dodd, Mead;1908.",1908,1908,"nyu",,"Utopias",,"Lord of the world"
"mdp.39015033007686",1775924,10011144,,"oclcid","Wells, H. G.",,"New York;Duffield & company;1909.",1909,1909,"nyu",,,,"Tono Bungay;"
"nyp.33433074961263",673034,12727210,,"fuzzymatch","Oppenheim, E. Phillips",,"New York;c. H. Doscher & co.;1909.",1909,1909,"nyu",,,,"A daughter of Astrea"
"nyp.33433075746895",8667440,2160312,"PS3537.E69C64 1911","taggedsf","Serviss, Garrett Putman,",,"New York;London;D. Appleton and Company;1911.",1911,1911,"nyu",,"Science fiction",,"A Columbus of space"
"njp.32101064789157",6869714,4389802,,"fuzzymatch","Doyle, Arthur Conan,",,"New York;A.L. Burt Co., Publishers, published by arrangement with George H. Doran Company;c1912.",1912,1912,"nyu",,"Challenger, Professor (Fictitious character);Discovery and exploration;South America;Prehistoric peoples;Dinosaurs;Fiction",,"The lost world"
"uc2.ark+=13960=t9h41k936",7649485,2160233,"PZ3.S4925Se","oclcid","Serviss, Garrett Putman,",,"New York;McBride, Nast;1912.",1912,1912,"nyu",,,,"The second deluge"
"uva.x001689900",9794217,2546265,,"fuzzymatch","Doyle, Arthur Conan,",,"London;New York;Hodder and Stoughton;1913?].",1913,1913,"enk",,,,"The poison belt"
"uc1.b4373265",6228594,12570090,,"fuzzymatch","Burroughs, Edgar Rice,",,"New York;Ballantine Books;c1913.",1913,1913,"nyu",,,,"The return of Tarzan"
"uc1.b3187085",6119432,1802866,,"fuzzymatch","Burroughs, Edgar Rice,",,"New York;Ace Books;1914.",1914,1914,"nyu",,,,"At the earth's core"
"uc2.ark+=13960=t0ft8f11f",7664820,13403857,,"oclcid","Le Queux, William,",,"London;Hodder;1915.",1915,1915,"enk",,,,"The mystery of the green ray"
"mdp.39015001553547",630442,1161842,"PZ3.L846Sc","fuzzymatch","London, Jack,",,"New York;The Macmillan Company;1915.",1915,1912,"nyu",,,,"The scarlet plague"
"uc2.ark+=13960=t84j0cc9k",6497682,2174615,"PS3509.N435G6 1916","fuzzymatch","England, George Allan,",,"New York;The H.K. Fly Company;c1916.",1916,1916,"nyu",,,,"The golden blight"
"uc2.ark+=13960=t3kw58021",115493,1990867,"PZ3.B45Wo","oclcid","Beresford, J. D.",,"New York;George H. Doran company;c1917",1917,1911,"nyu",,,,"The Wonder"
"mdp.39015025358592",538570,1842238,"PZ3.L796Re","fuzzymatch","Locke, William John,",,"New York;John Lane company;London;John Lane; [etc., etc.;1917.",1917,1917,"nyu",,,,"The red planet"
"coo.31924022307601",11406323,5921741,,"fuzzymatch","Burroughs, Edgar Rice,",,"London;Methuen & Co.;1917.",1917,1917,"enk",,,,"Tarzan of the Apes"
"uc2.ark+=13960=t2794143s",7652854,28946565,,"fuzzymatch","Burroughs, Edgar Rice,",,"New York;Grosset & Dunlap;1917",1917,1917,"nyu",,,,"A princess of Mars"
"mdp.39015039618577",1365045,53373193,,"fuzzymatch","Verne, Jules,",,"New York;C. Scribner's sons;1918.",1918,1874,"nyu",,,,"The mysterious island"
"uc2.ark+=13960=t5n87bp31",7923089,6445025,,"fuzzymatch","Roberts, Charles G. D.,",,"London;Hutchinson;c1919",1919,1919,"enk",,,,"In the morning of time"
"uc1.31158002048287",7667111,2040520,,"fuzzymatch","Merritt, Abraham,",,"New York;Liveright Pub. Corp.;c1919.",1919,1919,"nyu",,,,"The moon pool"
"uc1.b4091432",6151344,2236941,"PS3523.A4235M3 1920","oclcid","Lamb, Harold,",,"New York;London;D. Appleton and Company;1920.",1920,1920,"nyu",,,,"Marching sands"
"uc2.ark+=13960=t3416tb8r",7675893,7266410,"PZ3.W633Ju","fuzzymatch","Wickham, Harvey.",,"Garden City, New York [etc.;Doubleday, Page, & company;1920.",1920,1920,"nyu",,,,"Jungle terror"
"uc2.ark+=13960=t10p0wz08",7654229,849722,,"fuzzymatch","Burroughs, Edgar Rice,",,"New York;Grosset & Dunlap;1920",1920,1920,"nyu",,,,"Tarzan the untamed"
"dul1.ark+=13960=t6j10qz2z",10945380,9156788,"PZ3.H2807CiPS3515.A8296","fuzzymatch","Hastings, Milo,",,"New York;Dodd, Mead and Company;1920.",1920,1920,"nyu",,"Berlin (Germany);Utopias;Fiction",,"City of endless night"
"nyp.33433074850367",8665949,2002399,,"fuzzymatch","Haggard, H. Rider",,"New York;Longmans, Green;1921.",1921,1921,"nyu",,,,"She and Allan"
"nyp.33433074942420",8665115,5866728,"PZ3.C273El","fuzzymatch","Casserly, Gordon.",,"New York;G. P. Putnam's sons;1921.",1921,1921,"nyu",,,,"The elephant god"
"uc2.ark+=13960=t7sn01t31",7667753,4375160,"PZ3.O62Grp","fuzzymatch","Oppenheim, E. Phillips",,"Boston;Little, Brown and Company;1922.",1922,1922,"mau",,,,"The great Prince Shan"
"osu.32435016457657",10939085,963171,"PZ3.R288Ne","fuzzymatch","Renard, Maurice,","1875-1939.","New York|The Macaulay Company|c1923",1923,1923,"nyu",,,"Fiction","New bodies for old, | $c: by Maurice Renard."
"uc1.$b318364",6545070,1937414,"PZ3.F2484Us","fuzzymatch","Farrère, Claude,","1876-1957.","New York|E. P. Dutton & Company|c1926",1926,1926,"nyu",,,"Fiction","Useless hands, | $c: by Claude Farrère ... Authorized translation from the French by Elisabeth Abbott."
"mdp.39015072611786",2476777,17861207,,"taggedsf|fuzzymatch","(Herbert George), Wells, H. G.","1866-1946.","New York|Harper & Brothers|c1926.",1926,1897,"nyu",,"Science fiction","NotFiction","The war of the worlds"
"mdp.39076002575145",9928875,2563051,,"taggedsf","Rohmer, Sax,","1883-1959.","Garden City, N.Y.|Published for The Crime club by Doubleday, Doran & Co|c1930.",1930,1930,"nyu",,"Juvenile fiction|Science fiction|Paranormal fiction|Detective and mystery stories","Fiction","The day the world ended"
"osu.32435055404685",100824669,6574803,,"oclcid","Mundy, Talbot,","1879-1940.","New York|Royal Books|c1931.",1931,1931,"nyu",,,"Fiction","Jimgrim Sahib"
"pst.000029583676",7063300,11097236,,"oclcid","Burroughs, Edgar Rice,","1875-1950.","New York|Ace Books|1931].",1931,1931,"xx ",,,"NotFiction","The land of hidden men."
"pst.000027847633",7055902,1595987,"PR6015.U9B65 1932","fuzzymatch","Huxley, Aldous,","1894-1963.","Garden City, N. Y.|Doubleday, Doran & company, inc.|1932.",1932,1932,"xx ",,,"NotFiction","Brave new world : | a novel by Aldous Huxley."
"uc1.$b802703",5137707,2540424,"PZ7.C572Lan","fuzzymatch","Claudy, C. H. (Carl Harry),","1879-1957.","New York|Grosset & Dunlap|c1933].",1933,1933,"nyu",,,"Fiction","The land of no shadow, | $c: by Carl H. Claudy. Illustrated by A.C. Valentine."
"uc1.$b119732",6611500,3855230,"PZ3.C6903FuPR6005.O36","oclcid","Collier, John,","1901-1980.","New York|D. Appleton & co.|1933.",1933,1933,"nyu",,,"Fiction","Full circle, | a tale. | $c: by John Collier."
"uc1.b3401126",6288100,1710048,,"fuzzymatch","Bell, Eric Temple,","1883-1960.","Baltimore|Williams & Wilkins co.|1934.",1934,1934,"xx ",,,"NotFiction","Before the dawn | $c: by Eric Temple Bell (John Taine, pseud.)"
"uc1.b3435625",6294413,6786945,"PZ3.O5853Lan 1935PR6029.N43","fuzzymatch","O'Neill, Joseph.",,"London|V. Gollancz, ltd.|1935.",1935,1935,"enk",,,"NotFiction","Land under England, | $c: by Joseph O'Neill ... with a foreword by A. E."
"uc1.b4083252",6148171,5148730,"PZ3.W465Cam","fuzzymatch","Wells, H. G. (Herbert George),","1866-1946.","London|Methuen & co., ltd.|1937",1937,1937,"enk",,,"Fiction","The Camford visitation, | $c: by H. G. Wells."
"uc1.$b105438",6603550,2405657,"PZ3.S55394Ho2","fuzzymatch","Sherriff, R. C. (Robert Cedric),","1896-1975.","New York|The Macmillan company|1939.",1939,1939,"nyu",,,"Fiction","The Hopkins manuscript, | $c: by R. C. Sherriff."
"uc1.$b57115",5634994,1309928,"PZ3.N87NoPR6027.O8","oclcid","Noyes, Alfred,","1880-1958.","New York|Frederick A. Stokes Co.|1940.",1940,1940,"nyu",,"Dystopias","Fiction","No other man"
"osu.32435063296008",100825406,17666534,,"fuzzymatch","Boucher, Anthony,","1911-1968.","New York|Dell|1951?], c1942.",1942,1942,"nyu",,,"Science fiction|Fiction|Detective and mystery stories","Rocket to the morgue "
"uc1.$b302067",6534708,30119354,,"fuzzymatch","Morton, H. V. (Henry Vollam),","1892-1979.","London|Methuen & Co.|c1942",1942,1942,"enk",,,"Fiction","I, James Blunt, | $c: by H.V. Morton."
"uc1.$b604952",538417,1750399,,"fuzzymatch","Lewis, C. S. (Clive Staples),","1898-1963.","New York|Macmillan|1943.",1943,1938,"nyu",,,"NotFiction","Out of the silent planet."
"mdp.39015001600769",1906960,5063625,,"fuzzymatch","Čapek, Karel,","1890-1938.","London|G. Allen & Unwin ltd|1944",1944,1922,"enk",,,"UnknownGenre","The absolute at large | $c: [by] Karel Čapek."
"coo.31924014518710",9090012,966268,"PZ7.E7254Se","fuzzymatch","Erdman, Loula Grace.",,"New York|Toronto|Longmans, Green and co.|c1944",1944,1944,"nyu",,,"NotFiction","Separate star, | $c: by Loula Grace Erdman; decorations by Janice Holland."
"uc1.$b102273",6601713,1277631,"PZ3.G28Li","oclcid","Gellhorn, Martha,","1908-1998.","New York|C. Scribner's Sons|1944.",1944,1944,"nyu",,,"NotFiction","Liana"
"mdp.39015029502112",1025396,875989,"PZ3.H981TiPR6015.U9T47","fuzzymatch","Huxley, Aldous,","1894-1963.","New York|London|Harper & Brothers|1944.",1944,1944,"nyu",,,"Typefaces (Type evidence)|Baskerville|Publishers' advertisements|NotFiction","Time must have a stop"
"mdp.39015004760586",1397596,1532970,"PZ1.W683Pr","taggedsf","Wollheim, Donald A.",,"New York|The Viking press|1945.",1945,1945,"nyu",,"Science fiction","NotFiction","The portable novels of science,"
"uc1.b4562654",1441841,1664803,"PZ1.H345Ad","taggedsf","Healy, Raymond J.",,"New York|Random house|1946",1946,1946,"nyu",,"Science fiction","NotFiction","Adventures in time and space, | an anthology of modern science-fiction stories, | $c: edited by Raymond J. Healy and J. Francis McComas."
"osu.32435057545741",100824871,10831672,,"oclcid","Wellman, Manly Wade,","1903-1986.","New York|Popular Library|c1946.",1946,1946,"nyu",,,"NotFiction","The solar invasion"
"uc1.$b348189",1441724,296850,"PZ1.C76094Be","taggedsf","Conklin, Groff,","1904-1968.","New York|Crown Publishers|1946",1946,1946,"nyu",,"Science fiction|Short stories","Short stories","The best of science fiction, | $c: edited with an introduction by Groff Conklin. Preface by John W. Campbell, jr."
"uc1.$b799823",9952159,1635153,"PZ3.H7994","taggedsf","Hough, Donald,","1895-","New York|Duell, Sloan and Pearce|1946",1946,1946,"nyu",,"Science fiction, American","Fiction","The camelephamoose | $c: [by] Donald Hough."
"uc1.$b86033",6592693,4544468,,"fuzzymatch","Bond, Nelson Slade,","1908-","New York|Coward-McCann|1946",1946,1946,"nyu",,,"NotFiction","Mr. Mergenthwirker's lobblies and other fantastic tales"
"mdp.39015033397988",2967320,693013,"PZ3.W493St","fuzzymatch","Werfel, Franz,","1890-1945.","New York|Viking Press|1946.",1946,1946,"nyu",,,"Fiction","Star of the unborn, | $c: [by] Franz Werfel. Translated by Gustave O. Arlt."
"uc1.b3541070",1441724,296850,"PZ1.C76094Be","taggedsf","Conklin, Groff,","1904-1968.","New York|Crown Publishers|1946",1946,1946,"nyu",,"Science fiction|Short stories","Short stories","The best of science fiction, | $c: edited with an introduction by Groff Conklin. Preface by John W. Campbell, jr."
