"docid","recordid","oclc","locnum","includedbc","author","authordate","imprint","inferreddate","firstpub","place","enumcron","subjects","genres","title"
"uva.x004152854",9787447,6958548,,"fuzzymatch","Carroll, Lewis,",,"Philadelphia;H. Altemus;c1896.",1896,1865,"pau",,,,"Alice's adventures in Wonderland"
"mdp.39015003852855",1417619,7880315,,"fuzzymatch","MacDonald, George,","1824-1905.","London|Gollanez|1961.",1961,1868,"enk",,,"UnknownGenre","The light princess, | and other tales, being the complete fairy stories of George Macdonald. | $c: With original illus. by Arthur Hughes. Introd. by Roger Lancelyn Green."
"uc2.ark+=13960=t6c24rn6k",7666137,22397624,,"fuzzymatch","Lucas, John Templeton.",,"London;Warne;1871",1871,1869,"enk",,,,"Prince Ubbely Bubble's new story book"
"njp.32101075985729",10250470,4815457,,"fuzzymatch","Carroll, Lewis,",,"New York;Macmillan & co.;1875.",1875,1871,"nyu",,,,"Through the looking-glass"
"nyp.33433074896071",8666765,4886024,,"fuzzymatch","MacDonald, George,",,"New York;A.L. Burt, Publisher;1890?",1890,1871,"nyu",,"English fiction",,"At the back of the north wind"
"uva.x000241492",9784707,1621846,,"fuzzymatch","Verne, Jules,",,"Philadelphia;Porter & Coates;1873",1873,1872,"xx ",,,,"Around the world in eighty days"
"mdp.39015066637433",1417627,23468897,,"fuzzymatch","MacDonald, George,",,"Philadelphia;J.B. Lippincott;190?",1900,1872,"pau",,,,"The princess and the goblin"
"njp.32101013998032",8884394,5655591,,"fuzzymatch","Ritchie, Anne Thackeray,",,"New York;Harper;1875.",1875,1875,"nyu",,,,"Bluebeard's keys, and other stories"
"mdp.39015063921244",321824,8617668,,"fuzzymatch","Leland, Charles Godfrey,",,"London;Macmillan & co.;1877.",1877,1877,"enk",,,,"Johnnykin and the goblins"
"mdp.39015083456759",9181234,7089731,"PZ7.M732Cu4","taggedfantasy","Molesworth, Mary Louisa",,"Philadelphia;J.B. Lippincott Co.;1914;(5th impression)",1914,1877,"pau",,"Behavior;Cuckoos;Clocks and watches;Juvenile fiction;Fantasy fiction",,"The cuckoo clock"
"uc2.ark+=13960=t82j68r7z",7681086,363110606,,"fuzzymatch","Kip, Leonard,",,"Albany;The Argus Co.;1878.",1878,1878,"xx ",,,,"Hannibal's man"
"mdp.39015008255252",1186452,5543188,,"fuzzymatch","Stevenson, Robert Louis,",,"New York;Scribner;c1905.",1905,1882,"nyu",,,,"The merry men and other tales and fables ; Strange case of Dr. Jekyll and Mr. Hyde"
"uc2.ark+=13960=t9z031r2b",7681446,2351759,,"fuzzymatch","MacDonald, George,",,"Philadelphia;J. B. Lippincott;1883.",1883,1883,"pau",,,,"The princess and Curdie"
"mdp.39015066624779",1418772,3534050,,"fuzzymatch","Collodi, Carlo,",,"Boston;Ginn;c1904",1904,1883,"mau",,,,"Pinocchio, the adventures of a marionette"
"uc2.ark+=13960=t57d2rd92",7661818,3012638,,"taggedfantasy","Harte, Bret,",,"Boston;New York;Houghton, Mifflin, and Company;1887, c1886;(Cambridge;The Riverside Press)",1886,1886,"mau",,"Juvenile literature;Stanislaus River (Calif.);Gold mines and mining;Fantasy games;California;Juvenile fiction;Pirates",,"The queen of the Pirate Isle"
"uc1.b117774",6610336,18939696,,"fuzzymatch","Verne, Jules,",,"London;S. Low, Marston, Searle & Rivington;1887.",1887,1886,"enk",,,,"The clipper of the clouds"
"uc2.ark+=13960=t5q817t6c",7679088,20175236,,"oclcid","Corkran, Alice",,"New York;A.L. Burt;1896",1896,1886,"nyu",,,,"Down the snow stairs, or, From good-night to good-morning"
"uc2.ark+=13960=t9r20w429",7674172,13393303,,"fuzzymatch","Stevenson, Robert Louis,",,"London;Longmans;1901.",1901,1886,"enk",,,,"The strange case of Dr. Jekyll and Mr. Hyde"
"pst.000045747595",7049003,6254685,,"fuzzymatch","Richards, Laura Elizabeth Howe,",,"Boston;Roberts Brothers;c1887].",1887,1887,"xx ",,,,"Toto's merry winter"
"uc1.b4098570",6153421,20616394,,"oclcid|fuzzymatch","Molesworth, Mary Louisa",,"New York;Macmillan;1893.",1893,1887,"nyu",,,,"Four winds farm ; and, The children of the castle"
"nyp.33433074939723",8664055,2016496,,"taggedfantasy","Besant, Walter,",,"New York;Harper;1888.",1888,1888,"nyu",,"Fantasy fiction, English",,"The inner house"
"mdp.39015033584551",245013,9054234,"PZ8.1.G948Br","fuzzymatch","Guiney, Louise Imogen,",,"Boston;D. Lothrop company;c1888",1888,1888,"mau",,,,"Brownies and bogles"
"uc2.ark:/13960/t9377j24q",6155180,8645199,,"fuzzymatch","Lang, Andrew,","1844-1912.","New York|A. L. Burt|19--",0,1889,"nyu",,,"NotFiction","The adventures of Prince Prigio and of his son, Prince Ricardo"
"mdp.39015063759651",242089,3090343,"PR5079.T34 1889","fuzzymatch","Morris, William,",,"London;Reeves and Turner;1889.",1889,1889,"enk",,,,"A tale of the house of the Wolfings and all the kindreds of the mark"
"mdp.39015057979646",1023634,11162587,"PZ7.D666S","fuzzymatch","Carroll, Lewis,",,"London;New York;Macmillan and Co.;1889.",1889,1889,"enk",,,,"Sylvie and Bruno"
"uc2.ark+=13960=t88g8gj85",6154516,10991916,,"fuzzymatch","Lang, Andrew,",,"Bristol;J. W. Arrowsmith;London;Simpkin, Marshall & Co.;1889.",1889,1889,"enk",,,,"Prince Prigio"
"uc2.ark+=13960=t1qf8nf37",6256483,,,"taggedfantasy",,,"London;Swan, Sonnenschein & Co.;1889.",1889,1889,"enk",,"Short stories, French;Fantasy fiction",,"The dead leman"
"uc1.b249745",6502213,2482826,,"fuzzymatch","Field, Eugene,",,"New York;Scribner;1890.",1890,1890,"nyu",,,,"A little book of profitable tales"
"nyp.33433034410229",8609122,12659347,,"fuzzymatch","Corelli, Marie,",,"London;Richard Bentley & Son;1890.",1890,1890,"enk",,"English fiction",,"Ardath, the story of a dead self"
"mdp.39015059791767",432720,63963365,,"fuzzymatch","Haggard, H. Rider",,"Leipzig;London;Heinemann and Balestier, limited;1891.",1891,1890,"gw ",,,,"Eric Brighteyes"
"uva.x000885514",9789429,3265761,"PZ3.B479C2","fuzzymatch","Bierce, Ambrose,",,"Washington;The Neale Publishing Company;1903.",1903,1893,"dcu",,,,"Can such things be?"
"nyp.33433075767214",8667434,6048622,"PZ3.W547M","fuzzymatch","Weyman, Stanley John,",,"New York;Cassell;1894.",1894,1894,"nyu",,,,"The man in black"
"nyp.33433074878335",8665658,9123538,,"taggedfantasy","Le Queux, William,",,"New York;Frederick A. Stokes;c1895",1895,1895,"nyu",,"Fantasy fiction, English",,"Stolen souls"
"nyp.33433074878319",8665661,15040633,,"taggedfantasy","Le Queux, William,",,"New York;F.A. Stokes.;c1895.",1895,1895,"nyu",,"Fantasy fiction, English",,"Zoraida"
"nyp.33433074876164",1418812,4988292,,"fuzzymatch","Machen, Arthur,",,"London;J. Lane;Boston;Roberts bros.;1895.",1895,1895,"enk",,,,"The three impostors;"
"nnc1.cu58361391",8434269,21708725,,"taggedfantasy","Thurber, Alwyn M.",,"Chicago;F. M. Harley Publishing Co.;c1895",1895,1895,"ilu",,"Fantasy fiction",,"The hidden faith"
"uc2.ark+=13960=t9183968r",3912340,6663515,"PZ3.G7626G","fuzzymatch","Grahame, Kenneth,",,"Chicago;Stone & Kimball;1895.",1895,1895,"ilu",,,,"The golden age"
"inu.32000000659617",8570152,18661692,,"fuzzymatch","Sharp, William,",,"Boston;Roberts Bros.; [etc., etc.;1895.",1895,1895,"mau",,,,"The mountain lovers"
"uc2.ark+=13960=t79s1rx9c",7690944,1443581,,"fuzzymatch","Morris, William,",,"Portland, Maine;Thomas B. Mosher;1900.",1900,1895,"   ",,,,"Child Christopher and Goldilind the fair"
"uc2.ark+=13960=t9474806n",9262508,14580289,,"oclcid","Van der Naillen, A.",,"San Francisco;W. Doxey;1896 [c1895",1896,1896,"cau",,,,"In the sanctuary"
"nyp.33433074915343",907116,324489,,"fuzzymatch","Morris, William,",,"New York;London;Bombay;Longmans, Green, and Co.;1897.",1897,1897,"nyu",,,,"The water of the Wondrous isles"
"uc2.ark+=13960=t2j67fg4m",7688427,6131471,,"fuzzymatch","Griffith, George Chetwynd.",,"London;F. V. White;1897.",1897,1897,"enk",,,,"The romance of Golden Star"
"mdp.39076002629850",9929966,8120172,,"taggedfantasy","Hall, Edith King.",,"New York;A.L. Burt;1900?",1900,1897,"nyu",,"Juvenile fiction;Fantasy fiction",,"Adventures in Toyland"
"uc1.l0063361513",8660755,11198587,,"oclcid|fuzzymatch","Bangs, John Kendrick,",,"New York;London;Harper & brothers;1900, c1899.",1899,1899,"nyu",,,,"The enchanted typewriter"
"nyp.33433074935127",8664030,11578793,"PZ3.C17At","taggedfantasy","Capes, Bernard Edward Joseph,",,"New York;Doubleday & McClure;1899.",1899,1899,"nyu",,"Fantasy fiction, English",,"At a winter's fire"
"pst.000055159890",7051643,35203325,,"fuzzymatch","Baum, L. Frank (Lyman Frank),","1856-1919.","New York|Scholastic Book Services|1958].",1958,1900,"xx ",,,"NotFiction","The Wizard of Oz"
"nyp.33433082303581",8689238,592067,"PZ8.G358Z","fuzzymatch","Clapp, Eva Katherine,",,"Chicago;Lansing;R. Smith Printing Co.;1901",1901,1901,"ilu",,,,"Zauberlinda, the wise witch;"
"mdp.39015085432923",5144563,16947978,,"taggedfantasy","Barrie, J. M.",,"Toronto;Copp, Clark Company, Ltd.;MDCCCCII [1902",1902,1902,"onc",,"Kensington Gardens (London, England);Fantasy;Juvenile fiction;Children's literature, English",,"The little white bird; or, Adventures in Kensington Gardens"
"nyp.33433082333174",8689287,13766578,,"oclcid","Jenks, Tudor,",,"Boston;Hall and Locke Company;c1902",1902,1902,"mau",,"Children's stories",,"Tales of fantasy"
"nc01.ark+=13960=t8v995442",4966375,3343074,"PZ7.B327Li","taggedfantasy","Baum, L. Frank",,"Indianapolis;The Bowen-Merrill Co.;1902.",1902,1902,"inu",,"Santa Claus;Christmas stories;Fantasy;Fairies;Juvenile fiction",,"The life and adventures of Santa Claus"
"mdp.39076002242886",9926546,51302843,,"taggedfantasy","Doty, Douglas Zabriskie,",,"New York;J.F. Taylor;1902.",1902,1902,"nyu",,"Adventure stories;Boys;Fantasy fiction;Juvenile fiction;Dolls",,"Andy's adventures on Noah's ark"
"nyp.33433075771133",8670718,13141960,,"taggedfantasy","Worfel, W. G.",,"Chicago;Rand, McNally;1904.",1904,1904,"ilu",,"Fantasy fiction, American",,"Munchausen XX"
"nyp.33433076024326",8689996,1160281,"PS3523.O64F3 1906","fuzzymatch","Lorimer, George Horace,",,"New York;D. Appleton and Company;1906.",1906,1906,"nyu",,,,"The false gods"
"uva.x030580544",9776282,6542652,"PZ3.L846B","fuzzymatch","London, Jack,",,"New York;The Macmillan & co.;1919",1906,1906,"nyu",,,,"Before Adam"
"uc2.ark+=13960=t26970r57",9261303,1377799,,"oclcid|taggedfantasy","Baum, L. Frank",,"Chicago;Reilly & Britton;c1906",1906,1906,"ilu",,,,"John Dough and the cherub"
"mdp.39015008859509",434930,305520,"PZ3.G7626W","fuzzymatch","Grahame, Kenneth,",,"New York;C. Scribner's sons;1908.",1908,1908,"nyu",,"Animals;Juvenile fiction",,"The wind in the willows"
"uc1.$b318311",6545040,3136782,,"taggedfantasy","Mendès, Catulle,","1841-1909.","London|T. Werner Laurie|1928.",1928,1908,"enk",,"Fantasy fiction, French","Fiction","Number 56 and other stories"
"pst.000029121120",7049627,2183540,"PZ3.C4265M","fuzzymatch","Chesterton, G. K. (Gilbert Keith),","1874-1936.","New York|Dodd, Mead and company|1935].",1935,1908,"xx ",,,"NotFiction","The man who was Thursday : | a nightmare"
"uc2.ark+=13960=t3125zp7f",591406,236439,"PZ3.K629Ac","fuzzymatch","Kipling, Rudyard,",,"New York;Doubleday, Page & company;1909.",1909,1909,"nyu",,,,"Actions and reactions"
"nyp.33433076064223",8690191,14443593,,"oclcid","Hopper, James Marie,",,"New York;Moffat, Yard and Company;1909.",1909,1909,"nyu",,,,"The trimming of Goosie"
"uva.x004507096",9775561,1372250,"PZ3.B5683E","fuzzymatch","Blackwood, Algernon,",,"New York;H. Holt and company;1910",1909,1909,"enk",,,,"The education of Uncle Paul"
"nyp.33433074847991",284033,1161161,"PZ3.B934La","fuzzymatch","Burnett, Frances Hodgson,",,"New York;Moffat, Yard and company;1909.",1909,1909,"nyu",,,,"The land of the blue flower"
"mdp.39076002651722",9930134,17682350,,"taggedfantasy","Lewis, Edwin Herbert,",,"Indianapolis;Bobbs-Merrill;1909.",1909,1909,"inu",,"Children's stories;Fantasy;Brothers and sisters;Juvenile fiction",,"Almost fairy children"
"mdp.39015063940210",285417,1836446,,"fuzzymatch","De Morgan, William,",,"London;Heinemann;1911.",1911,1911,"enk",,,,"A likely story"
"uc2.ark+=13960=t2599zm8x",6529171,2470703,"PZ7.C42P","fuzzymatch","Cherubini, E.",,"Boston;New York [etc.;Ginn and Company;c1911",1911,1911,"mau",,,,"Pinocchio in Africa"
"nyp.33433074850169",245278,3285318,"PZ3.H123Mah","fuzzymatch","Haggard, H. Rider",,"New York;H. Holt and company;1911.",1911,1911,"nyu",,,,"The mahatma and the hare;"
"aeu.ark:/13960/t1mg96176",100299986,861775938,,"fuzzymatch","O'Connor, Daniel,","b. 1880.","Toronto|Musson|192-?",1929,1911,"onc",,,"Novel","The story of Peter Pan | retold from the fairy play by Sir J.M. Barrie"
"mdp.39015001799165",1031989,10189295,"PZ8.B276Pet20","oclcid","(James Matthew), Barrie, J. M.","1860-1937.","New York|Scribner|1950.",1950,1911,"nyu",,,"Fiction","Peter Pan; | $c: illustrated by Nora S. Unwin."
"mdp.39015043257750",3509147,21276682,,"fuzzymatch","Stoker, Bram,","1847-1912.","London|Arrow Books|1960.",1960,1911,"enk",,,"Fiction","The lair of the white worm"
"mdp.39015031308953",1194583,1427667,"PZ3.S8337Cr","fuzzymatch","Stephens, James,",,"London;Macmillan and co., limited;1912.",1912,1912,"enk",,,,"The crock of gold"
"nyp.33433076068869",8689821,17792451,,"fuzzymatch","Gates, Eleanor,",,"New York;Grosset & Dunlap;c1912.",1912,1912,"nyu",,"American fiction",,"The poor little rich girl"
"uva.x030751450",9775562,38291370,"PZ3.B5683Pr","fuzzymatch","Blackwood, Algernon,",,"London;Macmillan and co.,ltd.;1920",1913,1913,"enk",,,,"A prisoner in fairyland (the book that 'Uncle Paul' wrote)"
"mdp.39015074391536",5843664,12902479,"PZ8.C238D4 1913","taggedfantasy","Carryl, Charles E.",,"Boston;New York;Houghton Mifflin;1913.",1913,1913,"mau",,"Fantasy",,"Davy and the goblin"
"uva.x000835612",9795603,1385384,,"taggedfantasy","Baum, L. Frank",,"Chicago;Reilly & Lee Co.;c1913",1913,1913,"xx ",,"Fantasy",,"The patchwork girl of Oz"
"uc1.b3160554",10034816,,,"fuzzymatch","Moorcock, Michael,","1939-","London|W. H. Allen|1975",0,1914,"enk",,,"UnknownGenre","Before Armageddon; an anthology of Victorian and Edwardian imaginative fiction published before 1914, vol. 1"
"mdp.39015031219481",148081,2436751,"PZ1.B3885PR1309.S3","oclcid",,,"London|W. H. Allen|1975-",0,1914,"enk","v.1","19th century|English fiction","Fiction","Before Armageddon : | an anthology of Victorian and Edwardian imaginative fiction published before 1914"
"uc1.b3187085",6119432,1802866,,"fuzzymatch","Burroughs, Edgar Rice,",,"New York;Ace Books;1914.",1914,1914,"nyu",,,,"At the earth's core"
"mdp.39076002619562",9929745,30993423,,"taggedfantasy","Brown, Abbie Farwell,",,"Boston;New York;Houghton Mifflin Co.;1915.",1915,1915,"mau",,"Juvenile literature;Fantasy;Fairy tales",,"Kisington town"
"uc2.ark+=13960=t8cf9mv4w",6607475,1387935,"PZ3.B5683Ex","taggedfantasy","Blackwood, Algernon,",,"New York;The Macmillan company;1915.",1915,1915,"xx ",,"Fantasy fiction, English",,"The extra day"
"nyp.33433076080302",8659216,13688966,"PZ3.H8345M2","taggedfantasy","Howard, Maude Lesseur.",,"Elkhart, Indiana;Occult Pub. Co.;1915.",1915,1915,"inu",,"Fantasy fiction, American",,"Myriam and the mystic brotherhood"
"uva.x001086289",9776685,5578789,"PZ7.G655L","fuzzymatch","Gordon, Elizabeth,",,"Chicago;New York;Rand, McNally & company;c1915",1915,1915,"ilu",,,,"Loraine and the little people"
"nyp.33433074847538",8659720,2484996,"PZ3.B933S","fuzzymatch","Burnet, Dana,",,"New York and London;Harper;c1916.",1916,1916,"nyu",,,,"The shining adventure"
"mdp.39015002580598",40753,1659730,"PZ3.L846Cu3PS3523.O46","taggedfantasy","London, Jack,","1876-1916.","Port Washington, N.Y.|Kennikat Press|1975.",1975,1916,"nyu",,"Fantasy fiction, American","Fiction|Bibliographies","Curious fragments : | Jack London's tales of fantasy fiction"
"uc2.ark+=13960=t29883c9f",9262537,11578826,,"fuzzymatch","London, Jack,",,"London;Mills & Boon;1918",1918,1918,"enk",,,,"Hearts of three"
"uc1.31158002048287",7667111,2040520,,"fuzzymatch","Merritt, Abraham,",,"New York;Liveright Pub. Corp.;c1919.",1919,1918,"nyu",,,,"The moon pool"
"njp.32101066164813",8926195,13436429,,"oclcid","Blackwood, Algernon,",,"London;Macmillan;1919.",1919,1919,"enk",,,,"Pan's garden;"
"uc1.b3324361",6130910,4100794,"PR4809.H18A72","fuzzymatch","Housman, Laurence,","1865-1959.","New York|Harcourt, Brace|192-?",1920,1920,"nyu",,,"Fiction","All-fellows and The cloak of friendship"
"nyp.33433074806260",8663941,37148424,,"fuzzymatch","Pyle, Howard,",,"New York;C. Scribner's Sons;1920.",1920,1920,"nyu",,,,"The garden behind the moon"
"uc1.b4099023",1021531,301968,"PZ7.L827St","fuzzymatch","Lofting, Hugh,",,"New York;Frederick A. Stokes company;1920.",1920,1920,"nyu",,,,"The story of Doctor Dolittle, being the history of his peculiar life at home and astonishing adventures in foreign parts"
"nyp.33433074939996",8663670,5631442,"PZ3.B543Do2","fuzzymatch","Biss, Gerald.",,"New York;Putnam;1920.",1920,1920,"nyu",,"Werewolves;Fiction",,"The door of the unreal"
"uc2.ark+=13960=t10p0wz08",7654229,849722,,"fuzzymatch","Burroughs, Edgar Rice,",,"New York;Grosset & Dunlap;1920",1920,1920,"nyu",,,,"Tarzan the untamed"
"uc1.b3868727",6738571,1571732,"PR6005.O38B7 1920","oclcid|fuzzymatch","Colum, Padraic,",,"New York;The Macmillan Company;1920.",1920,1920,"nyu",,,,"The boy apprenticed to an enchanter"
"mdp.39076002449382",9928764,22300250,,"taggedfantasy","Bowen, William,",,"New York;The Macmillan Co.;1922, c1921.",1921,1921,"nyu",,"Boys;Fantasy fiction;Juvenile fiction;Pirates",,"The old tobacco shop"
"mdp.39076002338643",9927197,5349302,,"taggedfantasy","Taylor, Bert Leston,",,"New York;Knopf;1922.",1922,1922,"nyu",,"Animals;Fantasy;Girls;Juvenile fiction",,"The well in the wood"
"uva.x030802527",9776674,18353059,"PZ7.C817Pu","fuzzymatch","Cory, David Magie,",,"New York;Harper & brothers;c1922",1922,1922,"nyu",,"Animals;Folklore",,"Puss junior and Robinson Crusoe"
"mdp.39015018287048",419166,3736596,"PZ8.S25Roo","fuzzymatch","Sandburg, Carl,",,"New York;Harcourt, Brace;c1922;(Rahway, N.J.;Quinn & Boden Company)",1922,1922,"nyu",,"Children's stories, American",,"Rootabaga stories"
"uc1.$b236196",6493963,10649583,"PR6007.E3R5 1923a","taggedfantasy","De la Mare, Walter,","1873-1956.","London|Selwyn & Blount|1923.",1923,1923,"enk",,"Fantasy fiction, English","Fiction","The riddle, and other stories"
"uc1.$b245271",6499346,6660244,,"taggedfantasy","Leslie, Shane,","1885-1971.","London|John Long|1924.",1924,1924,"enk",,"Fantasy fiction, English","Fiction","Masquerades : | studies in the morbid"
"uc1.$b259681",6508337,3309009,,"taggedfantasy","Collins, Vere H. (Vere Henry),","b. 1872.","London|Oxford University Press|1924.",1924,1924,"enk",,"Fantasy fiction, American|Fantasy fiction, English","NotFiction","Ghosts and marvels : | a selection of uncanny tales from Daniel Defoe to Algernon Blackwood"
"mdp.39015031297305",670942,290041,"PZ3.M8265Th","fuzzymatch","Morley, Christopher,","1890-1957.","Garden City, New York|Doubleday, Page & Company|1925.",1925,1925,"nyu",,,"Fiction","Thunder on the left"
"uc1.$b243955",1028990,1179607,"PS3527.A74F5 1926","oclcid","Nathan, Robert,","1894-","New York|Robert M. McBride|1926.",1926,1926,"nyu",,,"NotFiction","The fiddler in Barly."
"mdp.39015070528438",159965,1878035,"PZ7.K889Fu","oclcid","Kreymborg, Alfred,","1883-1966.","New York|The Maccaulay company|c1927",1927,1927,"nyu",,,"Fiction","Funnybone Alley, | $c: by Alfred Kreymborg, illustrated by Boris Artzybasheff."
"mdp.39015063975976",325317,1597195,"PZ3.W937Is 2","fuzzymatch","Wright, S. Fowler (Sydney Fowler),","1874-1965.","New York|Cosmopolitan book corporation|1928.",1928,1928,"nyu",,,"Fiction","The island of Captain Sparrow,"
"uc1.$b312871",6541764,9230525,"PZ3.W937Is","fuzzymatch","Wright, S. Fowler (Sydney Fowler),","1874-1965.","London|V. Gollancz, ltd.|1928.",1928,1928,"enk",,,"Fiction","The island of Captain Sparrow, | $c: by S. Fowler Wright."
"uc1.32106017680692",7135231,36467034,,"fuzzymatch","Woolf, Virginia,","1882-1941","London|Hogarth Press|1958",1958,1928,"enk",,,"NotFiction","Orlando : a biography"
"uc1.$b243977",672985,16793773,,"taggedfantasy","Nathan, Robert,","1894-1985.","Indianapolis|Bobbs-Merrill|1929.",1929,1929,"inu",,"Fantasy fiction, American","Fiction","There is another heaven"
"uc1.32106002021704",7122701,226662645,,"fuzzymatch","Williams, Charles,","1886-1945.","London|Faber and Faber|1962.",1962,1930,"   ",,,"NotFiction","War in heaven."
"mdp.39015066681407",1419701,786943,,"fuzzymatch","Williams, Charles,","1886-1945.","New York|Pellegrini & Cudahy|1951",1951,1931,"nyu",,,"UnknownGenre","The place of the lion."
"mdp.39015008036983",1418196,1023877,,"oclcid","Hilton, James,","1900-1954.","New York|Morrow|c1936",1936,1933,"nyu",,,"UnknownGenre","Lost horizon."
"uc1.b3865736",7881341,786920,"PZ3.W67144Sh5","fuzzymatch","Williams, Charles,","1886-1945.","New York|Pellegrini & Cudahy|1950.",1950,1933,"nyu",,,"NotFiction","Shadows of ecstasy."
"mdp.39015005265767",632909,2517823,"PZ8.M4476Bo2","fuzzymatch","Masefield, John,","1878-1967.","New York|Macmillan Co.|1935.",1935,1935,"nyu",,,"Fiction","The box of delights, or, When the wolves were running"
"uc1.$b604952",538417,1750399,,"fuzzymatch","Lewis, C. S. (Clive Staples),","1898-1963.","New York|Macmillan|1943.",1943,1938,"nyu",,,"NotFiction","Out of the silent planet."
"uc1.b3711206",1029005,289825,"PZ3.N195Po","fuzzymatch","Nathan, Robert,","1894-1985.","New York|A. A. Knopf|1940.",1940,1940,"nyu",,,"Fiction","Portrait of Jennie, | $c: by Robert Nathan."
"mdp.39015031010799",1907152,1188010,,"oclcid","Stong, Phil,","1899-1957.","Garden City, N.Y.|Garden City publishing co., inc.|1942",1942,1942,"nyu",,"Short stories, American","UnknownGenre","The other worlds; | 25 modern stories, of mystery and imagination, | $c: ed. with an introduction by Phil Ston."
"umn.319510008904524",7417842,3253676,"PZ7.J69Tw","taggedfantasy","Jones, Elizabeth Orton,","1910-","New York|Macmillan|1942.",1942,1942,"nyu",,"Fairy tales|Fantasy","NotFiction","Twig, | $c: by Elizabeth Orton Jones."
"mdp.39015000593189",1801162,35198037,,"fuzzymatch","Saint-Exupéry, Antoine de,","1900-1944.","New York|Harcourt, Brace|1943",1943,1943,"nyu",,,"UnknownGenre","The little prince, | $c: written and drawn by Antoine de Saint-Exupéry, translated from the French by Katherine Woods."
"mdp.39015035730640",672816,366597,"PZ3.O793An2","fuzzymatch","Orwell, George,","1903-1950.","New York|Harcourt, Brace|1946",1946,1945,"nyu",,,"Fiction","Animal farm, | $c: [by] George Orwell."
"uc1.$b102397",6601803,1550512,"PZ3.J71654Pe","oclcid","Jones, Guy Pearce.",,"New York|Random House|c1946.",1946,1945,"nyu",,,"Fiction","Peabody's mermaid"
"uc1.32106002021571",7129346,254495534,,"fuzzymatch","Williams, Charles,","1886-1945.","New York|Pellegrini & Cudahy|1948",1948,1945,"   ",,,"NotFiction","All Hallows' Eve; | introd. by T.S. Eliot."
"uc1.$b56203",6575730,1182419,"PZ3.P3132Ti","fuzzymatch","Peake, Mervyn Laurence,","1911-1968.","New York|Reynal & Hitchcock|c1946",1946,1946,"xx ",,,"NotFiction","Titus Groan, | a gothic novel | $c: by Mervyn Peake."
"uc1.$b86033",6592693,4544468,,"fuzzymatch","Bond, Nelson Slade,","1908-","New York|Coward-McCann|1946",1946,1946,"nyu",,,"NotFiction","Mr. Mergenthwirker's lobblies and other fantastic tales"
"pst.000001758405",8385244,12564464,,"fuzzymatch","Godden, Rumer,","1907-1998","New York|Viking Press|1960 [c1947].",1947,1947,"xx ",,,"NotFiction","The dolls' house"
"uc1.$b114447",1370526,1234595,"PZ1.S83Tr","oclcid","Stern, Philip Van Doren,","1900-1984.","New York|Doubleday|1947.",1947,1947,"nyu",,"Short stories","Short stories","Travelers in time : | strange tales of man's journeyings into the past and the future"
