docid,recordid,oclc,locnum,author,authordate,imprint,inferreddate,place,enumcron,subjects,genres,title
miun.abw7144.0001.001,438212,3366594,,"Hogg, James,",1770-1835.,"London|A. M. Philpot, ltd.|1926",1926,enk,,,NotFiction,"The private memoirs and confessions of a justified sinner, | $c: by James Hogg; with an introduction by T. Earle Welby."
njp.32101067633923,8961430,3721575,,"Haggard, H. Rider",,London;Ward Locke & Co.;1905.,1905,enk,,,,Ayesha
njp.32101067644268,1027345,2563227,PZ3.F455Hol,"Field, Eugene,",,Cambridge;Chicago;Stone and Kimball;1893.,1893,ilu,,,,"The holy cross, and other tales"
uc1.b3552946,6673369,18706646,,"Dunsany, Edward John Moreton Drax Plunkett,",,Boston;J. W. Luce and company;1913,1913,mau,,,,The book of wonder
mdp.39015035777831,485454,1533779,PR4525.D119Z6,"Dacre, Charlotte,",b. 1782.,London|The Fortune Press|1928,1928,enk,,,Fiction,"Zofloya; or, The moor, | $c: by Charlotte Dacre (better known as Rosa Matilda) with an introduction by the Rev. Montague Summers."
mdp.39015021071926,117398,943389,PZ3.C857Wh,"Crawford, F. Marion",,London;New York;Macmillan and co.;1891.,1891,enk,,,,The witch of Prague
uc2.ark+=13960=t9h41vd2c,6678263,15217345,,"Blackwood, Algernon,",,London;Eveleigh Nash;1915.,1915,enk,,,,The empty house
mdp.39015005690451,507540,1063753,,"Blackwood, Algernon,",1869-1951.,"Secaucus, N. J.|Castle Books, Inc., distributed to the trade by Book Sales, Inc.|1974",1974,|||,,,UnknownGenre,Tales of the mysterious and macabre.
nyp.33433070255546,8622150,576048,BF1301.B3 1914a,"Barker, Elsa,",,New York;Mitchell Kennerley;1914.,1914,nyu,,Spiritualism,,Letters from a living dead man
mdp.39015030856978,426491,908974,PZ3.B224E,"Bangs, John Kendrick,",,New York;London;Harper & brothers;1899.,1899,nyu,,,,The enchanted typewriter
uc2.ark+=13960=t2w37sx92,7695279,364129939,,"Du Maurier, George,",,"London;J.R. Osgood, McIlvaine;1846.",1846,enk,,,,Peter Ibbetson
uc2.ark+=13960=t14m9511x,6541453,6508658,PZ3.S3265Im,"Scherr, Marie",,New York;George H. Doran Company;c1915,1915,nyu,,,,The immortal gymnasts
uc2.ark+=13960=t2g73850s,586980,1164198,PZ3.B934W,"Burnett, Frances Hodgson,",,New York;London;Harper & brothers;1917,1917,nyu,,,,The white people
nyp.33433074800883,1027045,271266,PS1064.B3H6 1896,"Bangs, John Kendrick,",,New York;Harper & brothers;1896.,1896,nyu,,,,A house-boat on the Styx;
mdp.39015011608810,403898,13361384,PR4661.L5 1985,"Eliot, George,",1819-1880.,"New York, N.Y.|Penguin Books--Virago Press|1985.",1985,nyu,,,Fiction,The lifted veil / | $c: George Eliot ; with a new afterword by Beryl Gray.
