"docid","recordid","oclc","locnum","author","imprint","inferreddate","authordate","firstpub","enumcron","place","genres","subjects","title","nationality","gender","tags"
"mdp.39015035566440",404338,8367751,,"Green, Anna Katharine,","New York;A",1906,1846,1878,,,,,"The Leavenworth case","us","f","detective"
"uc2.ark+=13960=t5bc3wr6q",7670294,12719329,,"Pinkerton, Allan,","New York;G",1879,1819,1879,,,,"Detectives","Mississippi outlaws and t","us","m","detective"
"mdp.39015031447595",1744767,47719956,,"Pinkerton, Allan,","New York;D",1880,1819,1880,,,,"Detectives","Bucholz and the detective","us","m","detective"
"uva.x030832557",9782899,21269234,,"Aldrich, Thomas Bailey,","Boston;Hou",1897,1836,1880,"v.6 1897",,,,"The stillwater tragedy","us","m","detective"
"uc1.$b813836",9946682,,,"Pinkerton, Allan,","New York;D",1909,1819,1881,,,,"Detectives","The rail-road forger and ","us","m","detective"
"uc1.b318291",6545031,7393828,,"Du Boisgobey, Fortuné,","London;Viz",1887,1821,1883,,,,,"The detective's eye ;","fr","m","detective"
"uc2.ark+=13960=t5n874v29",7666192,320092736,,"Lynch, Lawrence L.","Chicago;A.",1886,1853,1885,,,,,"Dangerous ground, or, The","us","f","detective"
"njp.32101063580268",8916598,17653915,,"Hume, Fergus,","London;Jar",1900,1859,1886,,,,,"The mystery of a hansom c","uk","m","detective"
"njp.32101068784923",8975159,7907741,,"Pinkerton, Allan,","New York;D",1900,1819,1886,,,,"Correspond","Professional thieves and ","us","m","detective"
"uc1.b4107807",6156982,4827090,,"Doyle, Arthur Conan,","New York;P",1914,1859,1887,"(copy 1)",,,,"A study in scarlet","uk","m","detective"
"uc2.ark+=13960=t1gh9jr4d",245281,3789691,,"Haggard, H. Rider","London;Spe",1888,1856,1888,,,,,"Mr. Meeson's will","uk","m","detective"
"uva.x001307832",9782975,21309411,,"Green, Anna Katharine,","New York;G",1906,1846,1888,,,,,"Behind closed doors","us","f","detective"
"uc1.b4105364",6156262,2708030,,"Zangwill, Israel,","Chicago;Ra",1895,1864,1892,,,,,"The big bow mystery","uk","m","detective"
"mdp.39015049217741",207878,2541507,,"Doyle, Arthur Conan,","New York;H",1892,1859,1892,,,,,"Adventures of Sherlock Ho","uk","m","detective"
"uc1.b4105459",6156317,4512180,,"Morrison, Arthur,","New York;H",1907,1863,1894,,,,,"Martin Hewitt, investigat","uk","m","detective"
"nyp.33433075765705",8667110,3124458,,"Pemberton, Max,","London;War",1894,1863,1894,,,,"Fiction;Je","Jewel mysteries I have kn","uk","m","detective"
"mdp.39015011950766",205913,26231984,"PZ3.P844St","Post, Melville Davisson,","New York [",1896,1869,1896,,,,,"The strange schemes of Ra","us","us","detective"
"nyp.33433074915269",8669776,37287421,,"Morrison, Arthur,","London;War",1897,1863,1897,,,,"English fi","The Dorrington deed-box","uk","m","detective"
"uc1.b4104310",6155805,276196,,"Green, Anna Katharine,","New York;L",1899,1846,1899,,,,,"Agatha Webb","us","f","detective"
"nyp.33433074876388",8665032,11088221,,"Hornung, E. W.","New York;C",1899,1866,1899,,,,"English fi","The amateur cracksman","uk","m","detective"
"uc1.$b813839",9946685,,,"Pinkerton, Allan,","New York;G",1900,1819,1900,,,,"Detectives","The burglar's fate and th","us","m","detective"
"nyp.33433075763080",7673651,1935922,"PZ3.T674A1","Tracy, Louis,","New York;R",1904,1863,1904,,,,,"The Albert Gate mystery","uk","m","detective"
"nyp.33433081593646",8688788,9994627,,"Pain, Barry,","London;Unw",1905,1864,1905,,,,,"The memoirs of Constantin","uk","m","detective"
"nyp.33433074941562",7915295,577209,,"Chambers, Robert W.","New York;D",1906,1865,1906,,,,,"The tracer of lost person","us","m","detective"
"njp.32101066455278",8927893,8823315,,"Bodkin, M. McDonnell","London;Unw",1908,1850,1908,,,,,"The quests of Paul Beck","ir","m","detective"
"uc2.ark+=13960=t3707xt9q",7671080,4280505,,"Rinehart, Mary Roberts,","New York :",1908,1876,1908,,,,,"The circular staircase","us","f","detective"
"uc2.ark+=13960=t4qj79t1j",7668984,5338172,,"Orczy, Emmuska Orczy,","New York;D",1909,1865,1909,,,,,"The man in the corner","uk","f","detective"
"mdp.39015011950758",205906,7041750,,"Post, Melville Davisson,","New York;L",1923,1869,1909,,,,,"Randolph Mason, corrector","us","m","detective"
"uc2.ark+=13960=t83j39v3z",7649263,37033520,,"Rinehart, Mary Roberts,","New York;G",1909,1876,1909,,,,,"The man in lower ten","us","f","detective"
"mdp.39015006963881",245776,3692078,"PZ3.M382At","Mason, A. E. W.","New York;G",1910,1865,1910,,,,,"At the Villa Rose","uk","m","detective"
"njp.32101068574530",8972389,11192817,,"Orczy, Emmuska Orczy,","London;New",1910,1865,1910,,,,,"Lady Molly of Scotland Ya","uk","f","detective"
"uva.x001752097",9794563,704115751,,"Leroux, Gaston,","New York;G",1910,1868,1910,,,,,"The mystery of the yellow","fr","m","detective"
"nyp.33433076073786",8660028,4530196,"PZ3.W463GlPS3545.E533","Wells, Carolyn,","Philadelph",1911,1862,1911,,,,,"The gold bag","us","f","detective"
"uc2.ark+=13960=t5j961w9x",7682673,24992290,,"Reeve, Arthur B.","New York;H",1911,1880,1911,,,,,"The poisoned pen","us","m","detective"
"uc1.32106001930137",7123380,993828,,"Chesterton, G. K.","New York;J",1911,1874,1911,,,,"Clergy;Cat","The innocence of Father B","uk","m","detective"
"uc2.ark+=13960=t6zw19x28",7646115,2329444,"PZ3.P592Ch","Pidgin, Charles Felton,","Boston;L. ",1912,1844,1912,,,,,"The chronicles of Quincy ","us","m","detective"
"mdp.39015074379739",5668909,47014670,,"Baum, L. Frank","Chicago;Re",1912,1856,1912,,,,"Mystery an","Aunt Jane's nieces on vac",,"m","detective"
"nyp.33433076053762",8659914,3656581,,"Rinehart, Mary Roberts,","Indianapol",1913,1876,1913,,,,,"The case of Jennie Brice","us","f","detective"
"uc2.ark+=13960=t3222sk2s",7660530,21893050,,"Green, Anna Katharine,","New York;A",1913,1846,1913,,,,,"Room number 3, and other ","us","us","detective"
"uc2.ark+=13960=t8z89353s",7670869,2338963,,"Reeve, Arthur B.","New York;H",1913,1880,1913,,,,,"Constance Dunlap, woman d","us","m","detective"
"nyp.33433076047871",8660161,3336052,,"Reeve, Arthur B.","New York;V",1914,1880,1914,,,,"American f","The dream doctor","us","m","detective"
